NUTS_LEVEL3_ID,NUTS_LEVEL0_ID,FOREST_ZONE
DEB11,DE,Central-West Europe
DEB12,DE,Central-West Europe
DEB13,DE,Central-West Europe
DEB14,DE,Central-West Europe
DEB15,DE,Central-West Europe
DEB17,DE,Central-West Europe
DEB18,DE,Central-West Europe
DEB1A,DE,Central-West Europe
DEB1B,DE,Central-West Europe
DEB1C,DE,Central-West Europe
DEB1D,DE,Central-West Europe
DEB21,DE,Central-West Europe
DEB22,DE,Central-West Europe
DEB23,DE,Central-West Europe
DEB24,DE,Central-West Europe
DEB25,DE,Central-West Europe
DEB31,DE,Central-West Europe
DEB32,DE,Central-West Europe
DEB33,DE,Central-West Europe
DEB34,DE,Central-West Europe
DEB35,DE,Central-West Europe
DEB36,DE,Central-West Europe
DEB37,DE,Central-West Europe
DEB38,DE,Central-West Europe
DEB39,DE,Central-West Europe
DEB3A,DE,Central-West Europe
DEB3B,DE,Central-West Europe
DEB3C,DE,Central-West Europe
DEB3D,DE,Central-West Europe
DEB3E,DE,Central-West Europe
DEB3F,DE,Central-West Europe
DEB3G,DE,Central-West Europe
DEB3H,DE,Central-West Europe
DEB3I,DE,Central-West Europe
DEB3J,DE,Central-West Europe
DEB3K,DE,Central-West Europe
DEC01,DE,Central-West Europe
DEC02,DE,Central-West Europe
DEC03,DE,Central-West Europe
DEC04,DE,Central-West Europe
DEC05,DE,Central-West Europe
DEC06,DE,Central-West Europe
DED21,DE,Central-West Europe
DED2C,DE,Central-West Europe
DED2D,DE,Central-West Europe
DED2E,DE,Central-West Europe
DED2F,DE,Central-West Europe
DED41,DE,Central-West Europe
DED42,DE,Central-West Europe
DED43,DE,Central-West Europe
DED44,DE,Central-West Europe
DED45,DE,Central-West Europe
DE275,DE,Central-West Europe
DE276,DE,Central-West Europe
DE277,DE,Central-West Europe
DE278,DE,Central-West Europe
DE279,DE,Central-West Europe
DE27A,DE,Central-West Europe
DE27B,DE,Central-West Europe
DE27C,DE,Central-West Europe
DE27D,DE,Central-West Europe
DE27E,DE,Central-West Europe
DE300,DE,Central-West Europe
DE401,DE,Central-West Europe
DE402,DE,Central-West Europe
DE403,DE,Central-West Europe
DE404,DE,Central-West Europe
DE405,DE,Central-West Europe
DE406,DE,Central-West Europe
DE407,DE,Central-West Europe
DE408,DE,Central-West Europe
DE409,DE,Central-West Europe
DE40A,DE,Central-West Europe
DE40B,DE,Central-West Europe
DE40C,DE,Central-West Europe
DE40D,DE,Central-West Europe
DE40E,DE,Central-West Europe
DE40F,DE,Central-West Europe
DE40G,DE,Central-West Europe
DE40H,DE,Central-West Europe
DE40I,DE,Central-West Europe
DE501,DE,Central-West Europe
DE502,DE,Central-West Europe
DE600,DE,Central-West Europe
DE711,DE,Central-West Europe
DE712,DE,Central-West Europe
DE713,DE,Central-West Europe
DE714,DE,Central-West Europe
DE715,DE,Central-West Europe
DE716,DE,Central-West Europe
DE717,DE,Central-West Europe
DE718,DE,Central-West Europe
DE719,DE,Central-West Europe
DE71A,DE,Central-West Europe
DE71B,DE,Central-West Europe
DE71C,DE,Central-West Europe
DE71D,DE,Central-West Europe
DE71E,DE,Central-West Europe
DE721,DE,Central-West Europe
DE722,DE,Central-West Europe
DE723,DE,Central-West Europe
