NUTS_LEVEL3_ID,NUTS_LEVEL0_ID,FOREST_ZONE
RO125,RO,Central-East Europe
RO126,RO,Central-East Europe
RO211,RO,Central-East Europe
RO212,RO,Central-East Europe
RO213,RO,Central-East Europe
RO214,RO,Central-East Europe
RO215,RO,Central-East Europe
RO216,RO,Central-East Europe
RO221,RO,Central-East Europe
RO222,RO,Central-East Europe
RO223,RO,Central-East Europe
RO224,RO,Central-East Europe
RO225,RO,Central-East Europe
RO226,RO,Central-East Europe
RO311,RO,Central-East Europe
RO312,RO,Central-East Europe
RO313,RO,Central-East Europe
RO314,RO,Central-East Europe
RO315,RO,Central-East Europe
RO316,RO,Central-East Europe
RO317,RO,Central-East Europe
RO321,RO,Central-East Europe
RO322,RO,Central-East Europe
RO411,RO,Central-East Europe
RO412,RO,Central-East Europe
RO413,RO,Central-East Europe
RO414,RO,Central-East Europe
RO415,RO,Central-East Europe
RO421,RO,Central-East Europe
RO422,RO,Central-East Europe
RO423,RO,Central-East Europe
RO424,RO,Central-East Europe
RO111,RO,Central-East Europe
RO112,RO,Central-East Europe
RO113,RO,Central-East Europe
RO114,RO,Central-East Europe
RO115,RO,Central-East Europe
RO116,RO,Central-East Europe
RO121,RO,Central-East Europe
SK010,SK,Central-East Europe
SK021,SK,Central-East Europe
SK022,SK,Central-East Europe
SK023,SK,Central-East Europe
SK031,SK,Central-East Europe
SK032,SK,Central-East Europe
SK041,SK,Central-East Europe
SK042,SK,Central-East Europe
SI031,SI,South-East Europe
SI042,SI,South-East Europe
SI043,SI,South-East Europe
SI044,SI,South-East Europe
SI032,SI,South-East Europe
SI033,SI,South-East Europe
SI034,SI,South-East Europe
SI035,SI,South-East Europe
SI036,SI,South-East Europe
SI037,SI,South-East Europe
SI038,SI,South-East Europe
SI041,SI,South-East Europe
ES709,ES,South-West Europe
ES111,ES,South-West Europe
ES112,ES,South-West Europe
ES113,ES,South-West Europe
ES114,ES,South-West Europe
ES120,ES,South-West Europe
ES130,ES,South-West Europe
ES211,ES,South-West Europe
ES212,ES,South-West Europe
ES213,ES,South-West Europe
ES220,ES,South-West Europe
ES230,ES,South-West Europe
ES241,ES,South-West Europe
ES242,ES,South-West Europe
ES243,ES,South-West Europe
ES300,ES,South-West Europe
ES411,ES,South-West Europe
ES412,ES,South-West Europe
ES413,ES,South-West Europe
ES414,ES,South-West Europe
ES415,ES,South-West Europe
ES416,ES,South-West Europe
ES417,ES,South-West Europe
ES418,ES,South-West Europe
ES419,ES,South-West Europe
ES421,ES,South-West Europe
ES422,ES,South-West Europe
ES423,ES,South-West Europe
ES424,ES,South-West Europe
ES425,ES,South-West Europe
ES431,ES,South-West Europe
ES432,ES,South-West Europe
ES511,ES,South-West Europe
ES512,ES,South-West Europe
ES513,ES,South-West Europe
ES514,ES,South-West Europe
ES521,ES,South-West Europe
ES522,ES,South-West Europe
ES523,ES,South-West Europe
ES531,ES,South-West Europe
ES532,ES,South-West Europe
ES533,ES,South-West Europe
ES611,ES,South-West Europe
ES612,ES,South-West Europe
ES613,ES,South-West Europe
ES614,ES,South-West Europe
ES615,ES,South-West Europe
ES616,ES,South-West Europe
ES617,ES,South-West Europe
ES618,ES,South-West Europe
ES620,ES,South-West Europe
ES630,ES,South-West Europe
ES640,ES,South-West Europe
ES703,ES,South-West Europe
ES704,ES,South-West Europe
ES705,ES,South-West Europe
ES706,ES,South-West Europe
ES707,ES,South-West Europe
ES708,ES,South-West Europe
SE313,SE,North Europe
SE321,SE,North Europe
SE322,SE,North Europe
SE331,SE,North Europe
SE332,SE,North Europe
SE231,SE,North Europe
SE232,SE,North Europe
SE311,SE,North Europe
SE312,SE,North Europe
SE110,SE,North Europe
SE121,SE,North Europe
SE122,SE,North Europe
SE123,SE,North Europe
SE124,SE,North Europe
SE125,SE,North Europe
SE211,SE,North Europe
SE212,SE,North Europe
SE213,SE,North Europe
SE214,SE,North Europe
SE221,SE,North Europe
SE224,SE,North Europe
